appid,title_old,rank_old
3334760,Awaysis,1425
3856030,Bolt Action,1426
3238520,A Waddleful Life,1428
3180340,RIG Riot,1429
3746560,Ethernia,1430
2217470,Wilderings: The Lost Spring,1431
3867170,Sengoku Rance,1432
2593570,DDS x Narcos,1433
2920220,Terrible Lizards,1434
2741550,Pipsqueak!,1435
1574290,Steel Bounty,1436
3309290,Black Raven,1437
2501620,Kandyland,1438
2520400,Nox Mortalis,1439
3718160,EVILBANE,1440
4105540,Fossil Quest,1441
3052150,Split Fiction - Friend's Pass,1442
1825030,Daomei Village,1443
2465380,Primal Earth,1444
2141160,Alien Deathstorm,1445
3619580,The Apocalypse,1446
2994190,Money Simulator,1447
3869500,VOIMA,1448
4753290,JUJUTSU KAISEN RUMBLE: SURVIVATON,1449
4085430,Cozy Campfire Club,1450
