appid,title_old,title_new,rank_old,rank_new,rank_delta,abs_rank_delta,movement_type,spike_type,price_text_old,price_text_new,price_changed,release_text_old,release_text_new,release_changed
2340970,Railborn,Railborn,34,34,0,0,stable,none,Unpriced (Coming Soon),Free,True,To be announced,2027,True
3960600,Warrior Cats: Clans of the Forest,Warrior Cats: Clans of the Forest,538,538,0,0,stable,none,Unpriced (Coming Soon),$29.99,True,"Oct 23, 2026","Oct 23, 2026",False
2509360,Water Me & You,Water Me & You,546,546,0,0,stable,none,Unpriced (Coming Soon),Free,True,2026,Coming soon,True
