appid,title_new,rank_new,price_text_new,release_text_new
4836540,Company of Heroes 3: Final Stand,1054,Unpriced (Coming Soon),"Jul 29, 2026"
2810210,Codename CURE II,1153,Free,"Jul 24, 2026"
3938640,Ugoku Sushi Bar,1187,Unpriced (Coming Soon),"Jul 29, 2026"
4020810,NTL: No Time Left,1192,Free,Coming soon
2468250,silkbulb test,1193,Free,Coming soon
971700,ALARA Prime,1194,Free,Coming soon
2661310,Shovel Knight: Shovel of Hope DX,1195,Unpriced (Coming Soon),To be announced
1428600,Stormrite,1196,Free,Coming soon
3082730,HYPERyuki: Snowboard Syndicate,1197,Free,Coming soon
2958550,Deeper,1198,Unpriced (Coming Soon),To be announced
3510740,Normal Golf Game,1199,Free,Coming soon
1575790,Flawless Abbey,1200,Free,Coming soon
