appid,title_old,rank_old
1478500,Big Walk,36
3399900,HellSlave II: Judgment of the Archon,953
896250,Liquidation,1117
2027760,Bridgebourn,1154
4121600,Psychopomp 2,1155
1617230,Paper Sky,1156
3235000,Kagura Survivors x Summer Memories,1157
1252070,STARHOME,1158
2151810,darkwebSTREAMER,1159
2945040,Shot One Fighters,1160
4703930,Grilluminati,1161
3135380,Verse Project,1162
3743260,Virtue and a Sledgehammer,1163
2991310,Eternal Palace Sakura,1164
3328490,Airport Control 27,1165
2620450,Highreach,1166
1999930,Never's End,1167
2697620,Combo Devils,1168
2340460,ONE WAY HOME,1169
2415500,Black Finger JET,1170
1868210,Bunker Builder Simulator,1171
1752530,B-17 Flying Fortress The Bloody 100th,1172
1286190,Art of the Rail,1173
4099630,Tiling Town,1174
4529850,Runeward Online,1175
