appid,title_new,rank_new,price_text_new,release_text_new
3107870,Highland Keep,552,Free,Coming soon
2945040,Shot One Fighters,1151,Free,Coming soon
3908940,Inferno Protocol,1152,Unpriced (Coming Soon),"Aug 28, 2026"
2620450,Highreach,1153,Unpriced (Coming Soon),Q3 2026
3743260,Virtue and a Sledgehammer,1154,Unpriced (Coming Soon),2026
1999930,Never's End,1155,Free,Coming soon
3328490,Airport Control 27,1156,Free,Coming soon
2697620,Combo Devils,1157,Unpriced (Coming Soon),To be announced
2340460,ONE WAY HOME,1158,Free,Coming soon
1868210,Bunker Builder Simulator,1159,Unpriced (Coming Soon),2026
2415500,Black Finger JET,1160,Unpriced (Coming Soon),To be announced
4438080,Call It a Day,1161,Unpriced (Coming Soon),September 2026
1752530,B-17 Flying Fortress The Bloody 100th,1162,Unpriced (Coming Soon),To be announced
1286190,Art of the Rail,1163,Free,Coming soon
3135380,Verse Project,1164,Unpriced (Coming Soon),2026
2991310,Eternal Palace Sakura,1165,Unpriced (Coming Soon),2026
4099630,Tiling Town,1166,Unpriced (Coming Soon),Q3 2026
3000510,Noblemen: 1941,1167,Unpriced (Coming Soon),2026
4703930,Grilluminati,1168,Unpriced (Coming Soon),Q4 2026
1093810,Savior,1169,Free,Coming soon
3361480,Bagdex,1170,Unpriced (Coming Soon),To be announced
1148130,Divinum,1171,Unpriced (Coming Soon),"Aug 28, 2026"
1252070,STARHOME,1172,Free,Coming soon
4239080,Veil of the Soulstones,1173,Unpriced (Coming Soon),To be announced
3412600,Supermarket,1174,Free,Coming soon
2459030,Locator: The Search for Abigail Lidari,1175,Unpriced (Coming Soon),To be announced
