appid,title_new,rank_new,price_text_new,release_text_new
3261450,Tangerine Antarctic,974,Unpriced (Coming Soon),To be announced
4163030,Cat Chess,2323,Unpriced (Coming Soon),"Jul 22, 2026"
4829700,Monster Hunter Wilds: Ascendance,2379,Free,2027
3470960,Tales of Eternia Remastered,2487,Unpriced (Coming Soon),"Oct 15, 2026"
4532500,Atelier Karia: The Night Kingdom & the Guide of Memories,2653,Unpriced (Coming Soon),To be announced
3265840,BioEden,2937,$19.99,"Sep 3, 2026"
4644870,Green Mist over Portland,2961,Unpriced (Coming Soon),Q4 2026
4414110,WATERFUL: a tiny oasis builder,2962,Free,2027
4761940,Smalland 2: Lost Realms,2992,Unpriced (Coming Soon),2026
2886300,Gunny Ascend,2993,Unpriced (Coming Soon),To be announced
