appid,source_url,discount_text,review_summary,image_url,platforms,tags_raw
3161310,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,win,
2179480,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,"win,linux",
4228810,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,win,
3624140,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,win,
1818140,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,win,
1867240,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,win,
2001760,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,win,
2828710,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,win,
2165810,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,"win,mac,linux",
3809270,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,"win,mac,linux",
1597080,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=3,,,,win,
2584270,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
3788800,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
1614330,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,"win,mac,linux",
1257610,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
3276050,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
3517740,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
2075800,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
2806050,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
1913120,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
3092530,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
2235430,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
2161710,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
2887580,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
2454980,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,"win,linux",
2239770,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
2849490,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
1579420,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
3440070,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
1572000,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
2090210,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
4078430,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
3010850,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
2800370,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
4231820,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
2569760,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=4,,,,win,
1952620,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
2244210,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
3283240,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
3078150,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
2055770,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,win,
3493540,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=5,,,,"win,mac,linux",
