appid,title_old,rank_old
2244210,Echoes of Aincrad,39
4042070,Angels In Orbit,999
4032350,EA SPORTS™ College Football 27,1165
433970,Destroyed Aperture,1302
4529850,Runeward Online,1303
4054220,Unleash The Avatar,1304
3908940,Inferno Protocol,1305
2893250,AGRONOM,1306
4087530,Breaking Armor,1307
4167200,UN:Me,1308
3086670,SKINWALKER: First Blood,1309
4204610,Gentleman's Violence,1310
4004820,FreeStyle Football 2,1311
4163960,Another Eden Begins,1312
3447730,Boomer Simulator,1313
2853430,Ravenwood Academy: A Wizard101 Story,1314
1342400,Burning Lands,1315
2593340,Wonderia,1316
3594610,GET YOKED: Extreme Bodybuilding,1317
3755120,NIGHTIN CAGE,1318
3703630,The Talos Principle 3,1319
3299820,Gretel & Hansel,1320
3516590,Allumeria,1321
1792390,Life After End,1322
1179020,Red Frost,1323
3469420,Biofactory,1324
2734480,Trade Tales,1325
