appid,query,video_id,url,title,contents_preview,published_at,date_classification,evidence_type
4661070,"""HANDS OVER"" trailer",m_sW2VDOl68,https://www.youtube.com/watch?v=m_sW2VDOl68,Hands Over: Official Announcement Trailer,"Get your first look at Hands Over, a multiplayer horror party game where you'll be playing your favorite childhood games...except ...",2026-05-24T13:00:12+00:00,inside_extended_window,youtube_video
4661070,"""HANDS OVER"" trailer",7EomwVjvUa8,https://www.youtube.com/watch?v=7EomwVjvUa8,Hands Over - Trailer de Anúncio Oficial,"ign #jogos Confira Hands Over, um jogo de terror multiplayer para festas onde você poderá jogar seus jogos favoritos da ...",2026-05-25T13:41:54+00:00,inside_extended_window,youtube_video
4661070,"""HANDS OVER"" trailer",O07j6Y6KR68,https://www.youtube.com/watch?v=O07j6Y6KR68,Hands Over: Trailer de anúncio oficial,"SINOPSE Confira Hands Over, um jogo de terror multiplayer para festas onde você poderá jogar seus jogos favoritos da ...",2026-05-24T22:00:13+00:00,inside_extended_window,youtube_video
4661070,"""HANDS OVER"" trailer",nX5RRfxkI10,https://www.youtube.com/watch?v=nX5RRfxkI10,"Hands Over The City (Le Mani Sulla Città, 1963) - Trailer","Hands Over The City (Le Mani Sulla Città, 1963) - Trailer a film by Francesco Rosi with Rod Steiger, Salvo Randone, Giudo Alberti ...",2021-03-02T19:50:33+00:00,outside_window,youtube_video
4661070,"""HANDS OVER"" trailer",k7HE5Iwg9J0,https://www.youtube.com/watch?v=k7HE5Iwg9J0,CitizenFour - Official Trailer,"Screening at the Film Society of Minneapolis St. Paul Now playing thru March 5 CitizenFour is a real life thriller, unfolding by the ...",2015-02-09T17:07:32+00:00,outside_window,youtube_video
4661070,"""HANDS OVER"" gameplay",FU1pSS0ya8E,https://www.youtube.com/watch?v=FU1pSS0ya8E,This NEW Game is giving me Nightmares- HANDS OVER #gaming #handsover,,2026-05-28T15:10:33+00:00,inside_extended_window,youtube_video
4661070,"""HANDS OVER"" gameplay",q-iu6Tyrcrw,https://www.youtube.com/watch?v=q-iu6Tyrcrw,One Wrong Move In This Game Could End Your Life #gaming #horrorgame #indiehorror #shorts,"Game: Hands Over #HANDSOVER thats not family friendly, thats not family friendly horror, horror, horror games, horror game, ...",2026-05-28T03:02:24+00:00,inside_extended_window,youtube_video
4661070,"""HANDS OVER"" gameplay",ISYmbxZx-Ek,https://www.youtube.com/watch?v=ISYmbxZx-Ek,Cowboy NPC Hands Over Keys! You Won&#39;t Believe What Happens Next! #caseoh #gaming #funny,From CaseOh video: https://www.youtube.com/watch?v=qil2smExAo0&t=254s.,2025-06-19T15:00:35+00:00,outside_window,youtube_video
4661070,"""HANDS OVER"" gameplay",JUWaFWMLJJ0,https://www.youtube.com/watch?v=JUWaFWMLJJ0,El Desafío MÁXIMO con tus COMPAS #gaming #videojuegos,Qué OPINAS y Con QUIÉN jugarías a este NUEVO Multijugador de SUPERVIVENCIA llamado HANDS OVER ? #multijugador ...,2026-05-28T03:08:46+00:00,inside_extended_window,youtube_video
4661070,"""HANDS OVER"" gameplay",dvefBIWsyc0,https://www.youtube.com/watch?v=dvefBIWsyc0,Childhood Games Were Never Supposed To Be This Scary..,"HANDS OVER is a 5-player co-op horror game where harmless challenges become cruel tests of luck and nerve. Bluff, sabotage ...",2026-05-28T06:51:33+00:00,inside_extended_window,youtube_video
4661070,"""HANDS OVER"" demo",t4BzUYGEiaU,https://www.youtube.com/watch?v=t4BzUYGEiaU,YouTube play hands over demo,Youtube movie playing hands over demonstration. Machine A playing some Youtube movie with Safari. Then Machine A execute ...,2020-10-09T12:13:18+00:00,outside_window,youtube_video
4661070,"""HANDS OVER"" demo",ke0kEuJxZik,https://www.youtube.com/watch?v=ke0kEuJxZik,Mantis Shibari Tie Tutorial,Like our videos? You can support us here: https://www.patreon.com/BondageTuition Christian and Star go through a simple ...,2021-11-25T13:22:54+00:00,outside_window,youtube_video
4661070,"""HANDS OVER"" demo",z_-n4eVZBtQ,https://www.youtube.com/watch?v=z_-n4eVZBtQ,Burpee Demo,"Here is a basic demo of the burpee. Chest and thighs touch the ground, then jump with your hands over your head.",2019-01-20T15:33:26+00:00,outside_window,youtube_video
4661070,"""HANDS OVER"" demo",ES2aAIVnPNA,https://www.youtube.com/watch?v=ES2aAIVnPNA,Bless These For My Enemies - The Preying Hands (Demo),"Unreleased demo for ""The Preying Hands"" by Tulsa area hardcore band Bless These For My Enemies written by Wendell Art by ...",2025-10-15T00:38:26+00:00,outside_window,youtube_video
4661070,"""HANDS OVER"" demo",RWBXvECqgww,https://www.youtube.com/watch?v=RWBXvECqgww,iOS Custom Semantic Segmentation Neural Net Using PyTorch (Hands-Over-Face Segmentation),I trained a machine learning model to segment hands in front of faces – this could be useful for beauty/gaming apps since it would ...,2021-05-18T07:29:28+00:00,outside_window,youtube_video
